2025-10-24 00:14:17 | INFO     | student_reviews:76 | 创建学生复习记录: ID=review_1_Sheet1_1761282857, 学生=linhao, 单词集=Sheet1, 单词数=5
2025-10-24 00:14:18 | INFO     | students:353 | 课时扣减成功: 学生=linhao, 扣减=1.0h, 19.0h → 18.0h, 操作人=jlh
2025-10-24 00:14:18 | INFO     | schedule:208 | 课程标记完成: 学生=linhao, 日期=2025-10-24, 类型=learning, 操作人=jlh
2025-10-24 00:15:04 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 0, 'grid_2': 10, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:15:04 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 0, 'grid_2': 10, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-24 00:23:25 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=34, 阶段=8/0
2025-10-24 00:23:25 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=420, 阶段=8/0
2025-10-24 00:23:25 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=1584, 阶段=8/0
2025-10-24 00:23:25 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=1656, 阶段=8/0
2025-10-24 00:23:25 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=1896, 阶段=8/0
2025-10-24 00:57:00 | INFO     | auth:114 | 用户尝试登录: jlh
2025-10-24 00:57:00 | INFO     | auth:136 | 登录成功: 用户=jlh, 角色=teacher, ID=user-1761277617468
2025-10-24 00:57:02 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=20, 统计={'grid_0': 2484, 'grid_1': 0, 'grid_2': 10, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 10}
2025-10-24 01:02:53 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=20, 统计={'grid_0': 2484, 'grid_1': 0, 'grid_2': 10, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 10}
2025-10-24 01:02:53 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=20, 统计={'grid_0': 2484, 'grid_1': 0, 'grid_2': 10, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 10}
2025-10-24 01:02:55 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=20, 统计={'grid_0': 2484, 'grid_1': 0, 'grid_2': 10, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 10}
2025-10-24 01:02:55 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=20, 统计={'grid_0': 2484, 'grid_1': 0, 'grid_2': 10, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 10}
2025-10-24 01:03:22 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=20, 统计={'grid_0': 2484, 'grid_1': 0, 'grid_2': 10, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 10}
